restaurant_id,restaurant_name,city,opening_hours
169,"House of Flavors",Goa,"8:00 AM - 10:00 PM"
170,"Spice Delight",Kolkata,"11:30 AM - 11:30 PM"
171,"The Table",Chandigarh,"8:00 AM - 10:00 PM"
172,"Swaad Delight",Hyderabad,"8:00 AM - 11:30 PM"
173,"Tandoor Canteen",Chennai,"8:00 AM - 12:00 AM"
174,"Annapurna Point",Chennai,"9:00 AM - 12:00 AM"
175,"Cafe Grill",Goa,"9:00 AM - 10:30 PM"
176,"Spice Point",Hyderabad,"11:30 AM - 10:30 PM"
177,"Taste of Bar",Kolkata,"11:30 AM - 10:30 PM"
178,"Annapurna Canteen",Mumbai,"10:00 AM - 11:30 PM"
179,"Curry Palace",Chennai,"11:30 AM - 11:30 PM"
180,"Swaad Kitchen",Bengaluru,"9:00 AM - 11:00 PM"
181,"The Grill",Jaipur,"9:00 AM - 12:00 AM"
182,"Tandoor Bistro",Kolkata,"9:00 AM - 10:00 PM"
183,"Spice Bistro",Goa,"8:00 AM - 10:30 PM"
184,"Urban Cafe",Ahmedabad,"9:00 AM - 11:30 PM"
185,"The Haven",Pune,"10:00 AM - 11:00 PM"
186,"Cafe Point",Chennai,"10:00 AM - 11:30 PM"
187,"Cafe Grill",Bengaluru,"11:30 AM - 12:00 AM"
188,"Cafe Haven",Jaipur,"8:00 AM - 10:00 PM"
189,"Annapurna Haven",Kolkata,"9:00 AM - 10:00 PM"
190,"Taste of Bar",Jaipur,"10:00 AM - 11:00 PM"
191,"Annapurna Haven",Kolkata,"9:00 AM - 11:30 PM"
192,"Royal Delight",Kolkata,"8:00 AM - 12:00 AM"
193,"Swaad Canteen",Chandigarh,"8:00 AM - 10:00 PM"
194,"Zaika Point",Hyderabad,"11:30 AM - 11:00 PM"
195,"Tandoor Grill",Bengaluru,"8:00 AM - 11:00 PM"
196,"Annapurna Flavors",Bengaluru,"11:30 AM - 12:00 AM"
197,"Royal Lounge",Delhi,"8:00 AM - 12:00 AM"
198,"Masala Haven",Chandigarh,"9:00 AM - 11:30 PM"
199,"Royal Point",Mumbai,"9:00 AM - 12:00 AM"
200,"Royal Grill",Chandigarh,"11:30 AM - 10:00 PM"
201,"House of Lounge",Lucknow,"11:30 AM - 10:00 PM"
202,"Masala Point",Jaipur,"11:30 AM - 10:00 PM"
203,"Annapurna Cafe",Pune,"11:30 AM - 11:30 PM"
204,"Urban Palace",Goa,"8:00 AM - 12:00 AM"
205,"House of Table",Chennai,"8:00 AM - 10:30 PM"
206,"Royal Flavors",Goa,"11:30 AM - 11:30 PM"
207,"Masala Street",Goa,"10:00 AM - 12:00 AM"
208,"Swaad Cafe",Chennai,"10:00 AM - 10:30 PM"
209,"Taste of Kitchen",Lucknow,"9:00 AM - 11:30 PM"
210,"Bombay Bar",Mumbai,"10:00 AM - 12:00 AM"
211,"Taste of Bar",Mumbai,"9:00 AM - 11:00 PM"
212,"Tandoor Point",Jaipur,"8:00 AM - 12:00 AM"
213,"Tandoor Delight",Chennai,"9:00 AM - 10:30 PM"
214,"Cafe Flavors",Hyderabad,"11:30 AM - 12:00 AM"
215,"Bombay Haven",Ahmedabad,"10:00 AM - 10:00 PM"
216,"Royal Haven",Pune,"11:30 AM - 11:00 PM"
217,"The Cafe",Chandigarh,"8:00 AM - 10:00 PM"
218,"Swaad Bistro",Chennai,"10:00 AM - 11:30 PM"
219,"Annapurna Cafe",Chennai,"9:00 AM - 10:00 PM"
220,"Biryani Point",Pune,"11:30 AM - 11:00 PM"
221,"Masala Point",Goa,"11:30 AM - 10:30 PM"
222,"Biryani Haven",Ahmedabad,"10:00 AM - 10:30 PM"
223,"Cafe Street",Bengaluru,"9:00 AM - 11:00 PM"
224,"Masala Bistro",Chennai,"11:30 AM - 10:30 PM"
225,"Royal Lounge",Mumbai,"11:30 AM - 12:00 AM"
226,"Zaika Canteen",Kolkata,"11:30 AM - 12:00 AM"
227,"Biryani Table",Chandigarh,"9:00 AM - 12:00 AM"
228,"Spice Bistro",Bengaluru,"10:00 AM - 10:00 PM"
229,"Curry Lounge",Pune,"9:00 AM - 10:30 PM"
230,"Swaad Cafe",Delhi,"8:00 AM - 10:00 PM"
231,"House of Delight",Hyderabad,"9:00 AM - 11:00 PM"
232,"Biryani Delight",Jaipur,"9:00 AM - 10:00 PM"
233,"Taste of Street",Delhi,"9:00 AM - 11:00 PM"
234,"Cafe Grill",Jaipur,"10:00 AM - 10:30 PM"
235,"The Flavors",Bengaluru,"10:00 AM - 10:30 PM"
236,"The Canteen",Bengaluru,"10:00 AM - 11:30 PM"
237,"Curry Haven",Goa,"11:30 AM - 11:30 PM"
238,"House of Grill",Pune,"9:00 AM - 11:00 PM"
239,"House of Lounge",Ahmedabad,"10:00 AM - 11:30 PM"
240,"Curry Delight",Delhi,"8:00 AM - 10:00 PM"
241,"Royal Point",Bengaluru,"9:00 AM - 10:00 PM"
242,"Masala Corner",Hyderabad,"10:00 AM - 12:00 AM"
243,"Royal Bar",Lucknow,"10:00 AM - 11:30 PM"
244,"Royal Grill",Hyderabad,"8:00 AM - 10:30 PM"
245,"The Table",Ahmedabad,"10:00 AM - 10:30 PM"
246,"Urban Bistro",Chandigarh,"11:30 AM - 10:30 PM"
247,"Biryani Grill",Delhi,"9:00 AM - 11:00 PM"
248,"Tandoor Lounge",Ahmedabad,"8:00 AM - 11:30 PM"
249,"The Palace",Hyderabad,"11:30 AM - 11:00 PM"
250,"Biryani Bistro",Ahmedabad,"8:00 AM - 11:00 PM"
251,"Zaika Flavors",Chennai,"10:00 AM - 10:00 PM"
252,"Bombay Haven",Jaipur,"11:30 AM - 10:30 PM"
253,"The Grill",Mumbai,"10:00 AM - 11:30 PM"
254,"Cafe Flavors",Jaipur,"10:00 AM - 10:30 PM"
255,"Biryani Street",Mumbai,"11:30 AM - 11:00 PM"
256,"Masala Street",Goa,"10:00 AM - 11:30 PM"
257,"Taste of Grill",Kolkata,"8:00 AM - 11:00 PM"
258,"Annapurna Palace",Lucknow,"11:30 AM - 12:00 AM"
259,"Swaad Delight",Ahmedabad,"8:00 AM - 11:30 PM"
260,"Masala Haven",Pune,"11:30 AM - 10:00 PM"
261,"Bombay Street",Jaipur,"11:30 AM - 10:00 PM"
262,"Bombay Flavors",Jaipur,"8:00 AM - 10:00 PM"
263,"Tandoor Bar",Jaipur,"9:00 AM - 10:30 PM"
264,"The Table",Pune,"9:00 AM - 10:00 PM"
265,"Zaika Haven",Pune,"11:30 AM - 12:00 AM"
266,"Masala Cafe",Bengaluru,"11:30 AM - 11:30 PM"
267,"Cafe Canteen",Bengaluru,"9:00 AM - 11:30 PM"
268,"Taste of Bar",Kolkata,"11:30 AM - 11:00 PM"
269,"Tandoor Lounge",Kolkata,"11:30 AM - 11:00 PM"
270,"Biryani Palace",Ahmedabad,"11:30 AM - 10:30 PM"
271,"Spice Haven",Ahmedabad,"9:00 AM - 10:30 PM"
272,"Bombay Table",Mumbai,"9:00 AM - 12:00 AM"
273,"Bombay Bar",Kolkata,"11:30 AM - 12:00 AM"
274,"Urban Bistro",Bengaluru,"10:00 AM - 10:00 PM"
275,"House of Bar",Jaipur,"9:00 AM - 11:30 PM"
276,"Tandoor Street",Ahmedabad,"11:30 AM - 12:00 AM"
277,"Bombay Bistro",Lucknow,"8:00 AM - 10:30 PM"
278,"Urban Bistro",Jaipur,"10:00 AM - 10:00 PM"
279,"House of Kitchen",Goa,"10:00 AM - 10:30 PM"
280,"Annapurna Table",Hyderabad,"11:30 AM - 10:30 PM"
281,"Masala Kitchen",Pune,"9:00 AM - 10:00 PM"
282,"Bombay Delight",Pune,"8:00 AM - 11:30 PM"
283,"Cafe Cafe",Lucknow,"11:30 AM - 10:30 PM"
284,"The Point",Lucknow,"10:00 AM - 11:00 PM"
285,"Bombay Corner",Ahmedabad,"11:30 AM - 10:00 PM"
286,"Cafe Lounge",Chandigarh,"9:00 AM - 10:00 PM"
287,"Urban Kitchen",Mumbai,"8:00 AM - 12:00 AM"
288,"Biryani Bistro",Chennai,"8:00 AM - 12:00 AM"
289,"Tandoor Point",Chandigarh,"11:30 AM - 10:00 PM"
290,"Cafe Bar",Goa,"9:00 AM - 10:30 PM"
291,"House of Lounge",Mumbai,"8:00 AM - 11:00 PM"
292,"The Bar",Pune,"11:30 AM - 10:00 PM"
293,"Spice Point",Pune,"10:00 AM - 10:00 PM"
294,"The Street",Bengaluru,"8:00 AM - 12:00 AM"
295,"Swaad Table",Jaipur,"9:00 AM - 10:00 PM"
296,"The Delight",Mumbai,"10:00 AM - 12:00 AM"
297,"House of Canteen",Delhi,"11:30 AM - 11:30 PM"
298,"Curry Cafe",Delhi,"9:00 AM - 10:30 PM"
299,"Swaad Flavors",Hyderabad,"9:00 AM - 10:00 PM"
300,"Urban Corner",Lucknow,"11:30 AM - 11:30 PM"
301,"Swaad Canteen",Chandigarh,"11:30 AM - 10:30 PM"
302,"Taste of Delight",Jaipur,"10:00 AM - 10:30 PM"
303,"Cafe Cafe",Hyderabad,"8:00 AM - 11:00 PM"
304,"Zaika Corner",Goa,"9:00 AM - 11:30 PM"
305,"Masala Cafe",Bengaluru,"9:00 AM - 10:00 PM"
306,"Taste of Table",Pune,"11:30 AM - 10:00 PM"
307,"Bombay Lounge",Chandigarh,"9:00 AM - 11:00 PM"
308,"Annapurna Flavors",Jaipur,"10:00 AM - 12:00 AM"
309,"Bombay Haven",Bengaluru,"11:30 AM - 11:30 PM"
310,"Swaad Cafe",Goa,"9:00 AM - 12:00 AM"
311,"The Bistro",Hyderabad,"11:30 AM - 10:30 PM"
312,"Taste of Bistro",Chandigarh,"10:00 AM - 11:30 PM"
313,"House of Point",Mumbai,"8:00 AM - 11:30 PM"
314,"Annapurna Lounge",Lucknow,"11:30 AM - 10:30 PM"
315,"Tandoor Palace",Lucknow,"8:00 AM - 11:30 PM"
316,"Zaika Flavors",Ahmedabad,"9:00 AM - 10:00 PM"
317,"Cafe Table",Mumbai,"10:00 AM - 11:30 PM"
318,"Bombay Point",Chennai,"10:00 AM - 10:30 PM"
319,"Spice Palace",Jaipur,"9:00 AM - 10:30 PM"
320,"Curry Cafe",Lucknow,"11:30 AM - 11:00 PM"
321,"Zaika Canteen",Kolkata,"10:00 AM - 11:30 PM"
322,"Cafe Canteen",Bengaluru,"8:00 AM - 11:00 PM"
323,"Urban Kitchen",Mumbai,"11:30 AM - 11:30 PM"
324,"Spice Bistro",Bengaluru,"11:30 AM - 10:00 PM"
325,"Bombay Canteen",Pune,"9:00 AM - 10:30 PM"
326,"Spice Kitchen",Bengaluru,"10:00 AM - 12:00 AM"
327,"Urban Street",Bengaluru,"11:30 AM - 10:00 PM"
328,"Curry Cafe",Chandigarh,"8:00 AM - 11:00 PM"
329,"Masala Palace",Hyderabad,"9:00 AM - 10:30 PM"
330,"Urban Bistro",Goa,"11:30 AM - 10:00 PM"
331,"Swaad Table",Bengaluru,"10:00 AM - 11:00 PM"
332,"The Flavors",Chennai,"8:00 AM - 11:00 PM"
333,"Biryani Table",Ahmedabad,"10:00 AM - 10:00 PM"
334,"Cafe Delight",Kolkata,"8:00 AM - 10:00 PM"
335,"Zaika Haven",Kolkata,"11:30 AM - 10:00 PM"
336,"Urban Table",Kolkata,"9:00 AM - 11:00 PM"
337,"Cafe Bistro",Kolkata,"9:00 AM - 11:00 PM"
338,"Swaad Point",Kolkata,"10:00 AM - 11:30 PM"
339,"Masala Bistro",Pune,"8:00 AM - 11:00 PM"
340,"Royal Palace",Jaipur,"8:00 AM - 10:00 PM"
341,"The Flavors",Pune,"8:00 AM - 12:00 AM"
342,"Spice Lounge",Chennai,"9:00 AM - 12:00 AM"
343,"Curry Bar",Jaipur,"10:00 AM - 11:00 PM"
344,"Royal Bistro",Goa,"8:00 AM - 10:30 PM"
345,"Urban Kitchen",Hyderabad,"8:00 AM - 12:00 AM"
346,"Biryani Palace",Pune,"10:00 AM - 12:00 AM"
347,"Tandoor Table",Bengaluru,"10:00 AM - 11:30 PM"
348,"House of Corner",Ahmedabad,"10:00 AM - 11:00 PM"
349,"Urban Bar",Bengaluru,"8:00 AM - 10:30 PM"
350,"Tandoor Lounge",Goa,"10:00 AM - 12:00 AM"
351,"Annapurna Grill",Hyderabad,"9:00 AM - 10:30 PM"
352,"Cafe Kitchen",Chandigarh,"11:30 AM - 10:30 PM"
353,"Swaad Delight",Chandigarh,"8:00 AM - 12:00 AM"
354,"Cafe Palace",Kolkata,"9:00 AM - 10:30 PM"
355,"Masala Bar",Kolkata,"9:00 AM - 10:30 PM"
356,"Bombay Lounge",Mumbai,"9:00 AM - 10:00 PM"
357,"Biryani Palace",Chandigarh,"11:30 AM - 11:30 PM"
358,"Cafe Corner",Pune,"8:00 AM - 11:30 PM"
359,"The Grill",Lucknow,"10:00 AM - 10:00 PM"
360,"Bombay Palace",Ahmedabad,"8:00 AM - 10:30 PM"
361,"Tandoor Cafe",Chandigarh,"11:30 AM - 11:30 PM"
362,"Swaad Bar",Jaipur,"10:00 AM - 10:00 PM"
363,"Royal Grill",Lucknow,"10:00 AM - 11:30 PM"
364,"The Corner",Chennai,"9:00 AM - 10:30 PM"
365,"Royal Cafe",Hyderabad,"11:30 AM - 12:00 AM"
366,"House of Haven",Kolkata,"8:00 AM - 12:00 AM"
367,"Masala Corner",Delhi,"8:00 AM - 10:30 PM"
368,"House of Haven",Pune,"9:00 AM - 10:30 PM"
369,"Biryani Flavors",Hyderabad,"11:30 AM - 12:00 AM"
370,"Masala Bistro",Hyderabad,"10:00 AM - 11:30 PM"
371,"Taste of Delight",Chennai,"9:00 AM - 10:30 PM"
372,"House of Kitchen",Chandigarh,"11:30 AM - 11:30 PM"
373,"Curry Street",Chandigarh,"9:00 AM - 10:30 PM"
374,"Bombay Canteen",Jaipur,"11:30 AM - 11:00 PM"
375,"Taste of Flavors",Ahmedabad,"9:00 AM - 12:00 AM"
376,"Masala Kitchen",Goa,"11:30 AM - 12:00 AM"
377,"Swaad Delight",Chandigarh,"9:00 AM - 11:00 PM"
378,"Zaika Street",Goa,"9:00 AM - 10:30 PM"
379,"The Corner",Delhi,"11:30 AM - 10:00 PM"
380,"Royal Grill",Kolkata,"10:00 AM - 11:00 PM"
381,"Cafe Grill",Jaipur,"10:00 AM - 10:30 PM"
382,"House of Street",Ahmedabad,"11:30 AM - 11:00 PM"
383,"Taste of Lounge",Mumbai,"8:00 AM - 11:00 PM"
384,"Annapurna Table",Chennai,"9:00 AM - 11:30 PM"
385,"Swaad Street",Bengaluru,"10:00 AM - 12:00 AM"
386,"Royal Point",Bengaluru,"9:00 AM - 10:30 PM"
387,"Tandoor Street",Delhi,"10:00 AM - 11:30 PM"
388,"Swaad Delight",Goa,"9:00 AM - 10:00 PM"
389,"Urban Palace",Hyderabad,"9:00 AM - 11:00 PM"
390,"Cafe Bar",Goa,"8:00 AM - 11:30 PM"
391,"Biryani Cafe",Jaipur,"11:30 AM - 11:00 PM"
392,"Taste of Palace",Kolkata,"10:00 AM - 12:00 AM"
393,"Bombay Bistro",Chennai,"9:00 AM - 11:30 PM"
394,"Biryani Flavors",Bengaluru,"10:00 AM - 12:00 AM"
395,"Urban Delight",Goa,"9:00 AM - 11:00 PM"
396,"Taste of Grill",Chennai,"10:00 AM - 11:00 PM"
397,"Annapurna Grill",Delhi,"10:00 AM - 10:00 PM"
398,"Masala Haven",Hyderabad,"8:00 AM - 10:00 PM"
399,"The Cafe",Ahmedabad,"10:00 AM - 11:30 PM"
400,"Taste of Kitchen",Kolkata,"8:00 AM - 10:00 PM"
401,"Annapurna Lounge",Chandigarh,"10:00 AM - 12:00 AM"
402,"Taste of Street",Bengaluru,"11:30 AM - 11:30 PM"
403,"Cafe Flavors",Hyderabad,"10:00 AM - 11:00 PM"
404,"Bombay Palace",Hyderabad,"8:00 AM - 12:00 AM"
405,"Annapurna Flavors",Pune,"11:30 AM - 11:00 PM"
406,"House of Lounge",Delhi,"8:00 AM - 10:30 PM"
407,"Spice Delight",Pune,"11:30 AM - 11:30 PM"
408,"The Lounge",Delhi,"11:30 AM - 10:30 PM"
409,"Annapurna Palace",Lucknow,"9:00 AM - 11:00 PM"
410,"Zaika Canteen",Chandigarh,"8:00 AM - 10:30 PM"
411,"Zaika Haven",Ahmedabad,"9:00 AM - 10:30 PM"
412,"House of Palace",Kolkata,"11:30 AM - 10:00 PM"
413,"The Delight",Ahmedabad,"10:00 AM - 12:00 AM"
414,"Urban Table",Chandigarh,"9:00 AM - 12:00 AM"
